,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
8712435,4345743301,2019-01-09T00:00:00,1416.0,WS19,,CA,201905.0,,HOND,PA,GY,1712 WESTWOOD BL,00141,51.0,88.13B+,METER EXP.,63.0,6428828.1259699995,1841451.0496619998
5033903,4304062405,2017-04-20T00:00:00,900.0,,,CA,201411.0,,FORD,PA,GY,11862 PHILLIPPI AVE,00323,53.0,5204A-,DISPLAY OF TABS,25.0,6436283.522336,1926567.517446
7113682,4327915432,2018-03-28T00:00:00,815.0,,,CA,201807.0,,TOYT,PA,BK,1900 HOBART BLVD,00442,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6469025.434191002,1860861.362267
2875475,4267271024,2015-09-22T00:00:00,1214.0,,1100.0,CA,201601.0,,HOND,PA,BK,17801 PRAIRIE ST,330R1,53.0,80.69C,PARKED OVER TIME LIM,58.0,6404028.8,1909916.6
4944040,4304825206,2017-03-24T00:00:00,1654.0,,,CA,201608.0,,FORD,PA,BL,615 NORTH OXFORD AVENUE,00400,54.0,5204A-,DISPLAY OF TABS,25.0,6468408.379695,1852343.50261
3745531,4292347522,2016-09-13T00:00:00,1801.0,,,CA,201606.0,,JEEP,PA,RD,5901 98TH ST W,00204,51.0,5204A-,DISPLAY OF TABS,25.0,6444605.4,1803444.3
7982560,4338052493,2018-08-14T00:00:00,1025.0,EN328,,CA,201904.0,,SUBA,PA,WT,17001 VENTURA BL,00700,53.0,88.13B+,METER EXP.,63.0,6409416.00623,1880906.291394
6774827,4324302511,2018-01-04T00:00:00,826.0,,,CA,201803.0,,TOYT,PA,SL,11830 SOUTH PARK AVE,138B,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6434190.629695,1822604.150524
8029316,4337839892,2018-08-23T00:00:00,100.0,46,,CA,201809.0,,HOND,PA,BK,300 KINGSLEY DR N,401A,54.0,80.58L,PREFERENTIAL PARKING,68.0,6469760.879222,1850278.505523
2762989,4265371412,2015-09-03T00:00:00,811.0,,,CA,201511.0,,MAZD,PA,GY,703 PARKMAN AVE,00453,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6478175.3,1851291.5
864687,4282879031,2016-05-18T00:00:00,1451.0,77,,CA,201702.0,,KIA,PA,GY,3268 FAY AVE,178R1,51.0,80.58L,PREFERENTIAL PARKING,68.0,6446348.9,1833942.8
235464,4276807216,2016-02-05T00:00:00,1548.0,ER121,,CA,201607.0,,HYUN,PA,SL,5000 CASPAR AV,00672,56.0,88.13B+,METER EXP.,63.0,6497080.3,1872234.9
1947295,4257536684,2015-04-23T00:00:00,834.0,,,CA,201507.0,,TOYT,PA,SL,10923 OTSEGO ST,00356,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6450171.2,1881782.1
6987368,4326736573,2018-02-22T00:00:00,1521.0,80102,,CA,201701.0,,HYUN,PA,SL,1235 FIGUEROA PL,00500,55.0,88.63B+,OFF STR/OVERTIME/MTR,58.0,6476265.126506,1743317.290878
2782635,1111986665,2015-08-08T00:00:00,1835.0,,,CA,201606.0,,TOYO,PA,WH,380 WORLD WAY,2F92,2.0,8939,WHITE CURB,58.0,6439920.1,1802686.7
5442133,4309534541,2017-06-12T00:00:00,1108.0,AE365,,CA,201708.0,,CHEV,PU,GY,701 BANNING ST,00600,56.0,88.13B+,METER EXP.,63.0,6490866.1153839985,1840416.265842
7067135,4327221511,2018-03-11T00:00:00,625.0,,,CA,201805.0,,CHEV,PA,SL,15234 GRESHAM ST,00310,53.0,80.61,STANDNG IN ALLEY,68.0,6421178.139181,1906743.371268
6131820,4317436222,2017-09-07T00:00:00,1928.0,,,CA,201805.0,,HOND,PA,GO,732 NORMANDIE AVENUE,00402,54.0,80.56E1,WHITE ZONE,58.0,6470692.014468,1853059.218692
605320,4280940311,2016-04-06T00:00:00,1136.0,,,CA,201701.0,,TOYT,PA,GN,916 SOUTH MANHATTAN PLACE,00460,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6467727.0,1842635.0
549416,4278817524,2016-03-29T00:00:00,1204.0,,,CA,201606.0,,TOYT,PU,MR,3803 SUNSET DR,00445,54.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0
861415,4284056512,2016-05-17T00:00:00,623.0,,,CA,201607.0,,TOYT,PA,SL,109 KINGSLEY DR S,00403,54.0,22500E,BLOCKING DRIVEWAY,68.0,6469927.5,1849400.8
